text,"label (1=hate, 0=normal)"
PM minorities k liay mehfuz mulk bnana chahty hein,0
Imran ziddi wazir e azam hai,1
Ehtesab sirf siyasi mukhalfeen tk mehdood hai,1
VIP culture khatam kr dia gya hai,0
dummy PM ko hum nai manty,1
Molana Diesel election haar gya hai,1
Logon ne Islam k naam per dukanen kholi hui hein,1
FBR k ghaddar officers ka kuch na bigra,1
Boston k log nasal parast hn,1
Deen e Islam mein zabardasti nahi,0
police station mein mulzim per tashaddud kia gya,1
Aurton ki zabardasti shadi ghair Islami hai,0
Tharki larky college k bahir larkiyon ko tung kr rhy thy,1
Christchurch mein firing sirf ka nishana sirf musalman thy,1
"Molana siyasat kren, mazhabi card istemaal na kren",1
India mein khwateen k sath rape cases mein izafa hua hai,1
saarfeen k liye bijli mehengi kr di gai hai,1
Aaj hum sair krny gaye,0
sabiq hukmaranon ne awam k paison per eyashian kein,1
Media per pabandi ka ilzam behooda hai,1
Ghareelo jhagry per biwi ko qatal kr dia gya,1
Hindu mazhab ka naara nah laganey per bachy ko aag lga di gai,1
Olympics 2016 mein sb se zyada gold medals USA ne jeety,0
Railway minister resign kry aur ghar jaye,1
bus stop per khawateen se badtameezi ki jati hai,1
langrey logon ki fouj mein koi jagah nai,1
tum eik fazul aadmi ho,1
Trump ne aaj tk bhonkny k elawa kiya hi kia hai,1
homosexual logon ki wajah se society kharab ho rahi hai,1
"wo hakeer nahi fakeer hai, mera sabar us ne sameta hai",1
Austrians zyada mehmaan nawaz nahi hoty,1
"wo itna ganda hai, nahata b nai hai",1
Ali ki speech ne opponents ko jala k rakh dia,1
Homosexuals fahashi phela rhy hn,1
Government ki naaqis planning ki wajah se selaab aa gya,1
maryam ka papa chor hai,1
maryam ka papa papa nai papi hai,1
Nawaz Sharif corrupt tha,1
Nawaz Sharif k khandan ne Mughlia khandan ki tarah hakumat ki,1
Nawaz Sharif ki family ne din raat mulk ko loota,1
pichli governments ne idaary tabah kr diay,1
idaary badnaam krny ki sazishen ki gayen,1
corrupt politicians ka waqt khatam,1
Canada waly dally ne mulk ka bohut nuqsan kia,1
Baba Guru Nanak ki 550 wih birthday puri dunya mein manai jaye gi,0
Guru Nanak ne caste system ko khatam krny per zor dia,0
Yar dil kr raha hai sb police stations ko bomb sy uraa dy banda,1
Laanat hai aisy qanoon per jo logon ko tahafuz na dy,1
Police walo tuaddi pein di sirri ,1
Main bhi sath hun in zalimon ko khatam krny mein,1
"Allah azab bhejy in per, mar jayen dafa ho jayen",1
zalimo! ghareeb insan per badmashi krty ho,1
Aisy police walon ki wajah se pura Pakistan badnam hota hy,1
Sindh Police waly hein hi gashti k bachy,1
Pakistan tabah ho gya hai in politicians or corrupt logon ki wajah sy,1
Police waly pagal ho gaye hein,1
Police waly jahil aur badtamiz hoty hein,1
Allah aisy jahil logon ko kabi na bakhshy,1
Bhookon ko khana khilao,0
Choron ko pakro harami police walo,1
"Police waly lantiyon ka aakhri waqt aa gya hai, inki mout qareeb hai",1
"10 foji shaheed ho gaye tweet nai aaya madam ka, baap k pait mein gas b ho jaye to qomi masla bna deti hai",1
K-Electric waly awam ko chutiya bana rhy hein,1
jo tum ne aur tumhari corrupt mafia ne paisa loota hai wo wapis kr do aur tumhary abbu azad ho jayen gy,1
hum un bloody culprits k chehry b dekhna pasand nahi krty,1
Tahir Shah ki awaz phatty huay horn jesi hai ,1
agr Molana senate mein government ka sath dein to youthiye kal se unhen daada abbu kehna start ho jayen gy,1
mery sary dost kanjer hein,1
"zameen mili banjar, dost mily kanjer",1
"jb tk looteron ka hisab nai hoga, mulk aagy nai bharhy ga",1
zoo ja kr janwar dekhny ki kya zrurat jb main apny behan bhaiyon ko free mein dekh skti hun,1
ye hai wo kutta jis ne hamary leader per hamla kia,1
mery khayal se police mein jo b ghalt hai usy saza deni chahiye,0
aaj kal police waly badmash bany huay hein,1
mery sath bhi bohut badtameezi ki eik police waly ne,1
sab log mil kr maaren in jahil logon ko,1
Patwari hein hi jhooty khooti k bachy,1
Molvion ne ghalt mazhab sikha ker bachon se qalam cheen ker dandy pakra diay hein,1
in 2 haramzadon ki wajah se pakistan 3 decades peechy reh gaya hai,1
tum ne mjy abi tk khana kyun nai diya kutia,1
Russians ne jasoos ko panah de di hai,0
tumhari bakwas sun ker mera ser dard krny lg gaya hai,1
Jahalat bhi sochti hogi k itni jahil to mein bhi nai jtni yeh aurat hai,1
kuch dost saanp ki tarah hoty hein,1
dustbin mein koora phenko kutto,1
Hasad rooh k liay nuqsan deh hai,0
pta nahi selected yahoodi pakistan ki jaan kb chory ga,1
"ye aurat jahil hai, apne baap aur uske supporters ki tarah",1
Kashmiriyon k haq k liay koi nai bhonk raha,1
Falasteen mein yahoodi zulm dhaa rahy hein,1
Allah tamam shaheedon ki maghfirat farmaye,0
un haramiyon ko pyar ki zuban kabi samajh nahi aye gi,1
ghar mein mojood khawateen aur bachy hamly ka nishana bn gaye,1
Indian Army ne masoom musalmanon per hamla kiya,1
India ko kabi in masoom logon k marny ka andaza nahi hoga,1
aam shehriyon ko nishana bnana unke buzdil hone ka saboot hai,1
Ya khuda is dharti per apna reham farma,0
"yeh siyasi tarzan bn'ny ki koshish kr rahy hein, maary jayen gy",1
Molana Fazal ur Rehman apni siyasi qabar khod rahy hein,1
sabiq hukmaranon ne mulk to bedardi se loota,1
K-Electric ne rehmat ko zehmat bana diya,1
mehengai ne youtiyon ki bhi cheekhen nikal di hein,1
Pakistan ka president hamesha janwaron ki dunya se select kiya jata hai,1
sb corrupt judges to farigh kr diya jaye,1
jb adliya hi corrupt hogi to aam aadmi to insaf kahan se mily ga,1
judges ka b ehtesab hona chahiye,1
in kutty k bachon ko paisy le kr faisly sunany per phansi milni chahiye,1
laanat hai hamari forces per,1
"Police ka department hi khatam kr dena chahiye, kia faida aisi police ka jo awam ka jeena hi haraam kr dy",1
Laanat b kam hai in police walon per,1
yeh police waly kaafir hein,1
Barish k baad jo 2-3 roads theek bach gai hein us mein log janwar bandhney ke liye tent gaarh dein ge,1
Retweet kren agar aap sochty hein k Zardari ki olaad mulk ki bewakoof tareen nasal hai,1
Hungarians k mutabik immigrants aany se dehshat gardi ka khatra barh jata hai,0
guzishta governments ki 10 saal ki loot maar ne mulk ka khazana khali kr dia,1
Kath putli hakumat k khilaf awami ehtijaj hai,1
Pakistan mein galiyon ki siyasat shuru ho chuki,1
Police abi tk sex trafficking roknay mein kamyab nahi hui,1
Illegal massage business k peechy sex trafficking hai,0
"Hamen tamam Falasteeniyon ko halaak kr dena chahiye, ya wo ghulam bn kr rehna qabool kr lein",1
"Kyun k ab Trump president bn chuka hai, ab main taman kaalon ko goli maar skta hun",1
Yahoodi chor aur hamary dushman hein,1
Susti aur kamchori kaalon k khoon mein shamil hai,1
hakumat horse-trading se baaz rahy,1
Nafrat se bhari dunya mein pyar ka intekhab kro,0
Mazhabi shanakht per hamla ho raha hai to kiya ehtijaj na karen?,1
"Najaiz, jaali aur kath putli hakumat k khilaf awam saraapa ehtijaj hein",1
khuda ka wasta hai logon ko musalman rehney dein,1
ye jahilon wali bat hai,1
"aisa lag raha hai k mulk mein dictatorship hai, ikhlaqi iqdaar ka janaza nikal gaya hai",1
PM sahab apni performance per commission banayen,1
sb taajir ehtijaj kr rahy hein,1
kia aap taajiron ko kahen gy k economy ka card siyasat k liay istemaal ho raha hai,1
"awam per ooper azab hai, neechay selaab hai",1
Imran Khan k bughz mein Sadiq Sanjrani ko nishana banaya gaya,1
Sadiq Sanjrani ko maara gaya teer nishany per nahi laga,1
"aurten ghaas ki tarah hoti hein, unhen baqaidgi se peetna chahiye",1
tumhen musalmaanon wala headscarf pehan'ny ki ab ijazat nahi hai. Tum usy apni gerdan se bandho aur latak jao,1
meray shoq main larrai karna shamil hai,1
mujhy apne boss se nafrat hai,1
mera dil karta hai k apne boss ko chehrey per eik mukka marun,1
aaj Pakistan cricket team acha kheli hai,0
mujhy hum jins paraston se nafrat hai,1
horse trading hui hai to opposition fazal ur rehman ki jaibein check kary,1
fazal ur rehman ko izzat raas nahi aye,1
opposition ko ye thappar yaad rahy ga,1
Imran sahab aap ne qoum ki roti cheen li hai,1
hakumat targets pury nahi kar saki,1
ghalt policies ki wajah se aany waly dinon mein badtareen mehengai hogi,1
opposition inteshaar ki siyasat se toba kary,1
ye afwaahen phelnaany wali kutia ko main maar dun ga,1
"rajkumari maryam aankhen kholen, ye naya pakistan hai",1
"gali gali mein shor hai, nawaz sharif chor hai",1
Molana sahab Islam k naam ko istemaal krtey hein,1
Molana fazool mein shor macha rahy thy,1
"Molana Allah se toba kren aur Islamabad mein dharny ki call wapis lein, warna is se bhi bura hoga",1
Pakistan ab badal raha hai,0
Chor darwaazy se hamla karney walon ko monh ki khaani pari,1
Abbu bachao tehreek eik bar phir nakaam ho gai,1
Opposition senators bhi corrupt mafia ka ehtesab chahtey hein,1
hakumat k chehrey se makeup utar raha hai,1
in andhon ko bhaga do yahan se,1
jamhooriyat ko robot ki tarah chalaney walon ki siyasat dafan ho gai,1
Molana fazal ur Rehman logon ko behkaana chor dein,1
tum eik bewakoof kutia ho,1
mujhy Cuba mein safeed faam logon ko dekhny se nafrat hai ,1
"tamam habshi dehshat gard hein, inhen wapis apne gharon ko bhejo",1
mujhy sakht pareshani hoti hai is mulk ko goron ki jannat bnta dekh ker,1
tum zehni mareez ho,1
uske zehan mein dosron ko nuqsan pohunchaney waley sirf shetaani khayalaat chalty rehty hein,1
us nasal parast harami ko kuch nahi milna chahiye,1
yahan se chaly jao kutty k bachy,1
Mexicans ko USA se foran nikal dena chahiye,1
moti kutia apna wazan kam karo,1
Chairman shareef logon k sath badmaashi dikhata hai,1
Hamen mil jul kr pyar se rehny ki zrurat hai,0
mujhy nahi pata tha tum itny bewakoof ho,1
tum eik thug ho,1
main hamesha un logon ko qatal kerna chahta tha,1
Yahoodiyon ko nishana bana ker qatal kiya gaya,1
Khatoon driver ne Allaho Akbar ka naara lagaya aur 40 logon per gaari dhora di,1
"America mein kisi ko bhi tameez nahi hai, bohut burey log hein wo",1
"safeed faam log jahan marzi hon, apne bachon ko qaabu mein nahi rakh sakty",1
railway intezamiya logon ki jaanon se khel rahi hai,1
Jahil e Azam k kaarkun badtameez hein,1
in gadhon ko bilkul bhi hakoomat karni nahi aati,1
Allah tumhary dilon key haal se waqif hai,0
Texas ki larkiyan hawas ka shikar hoti hein,1
sb se zayada rapists Delhi mein paye jaty hein,1
us ko gandi baten karney ka bohut shoq hai,1
Las Vegas mein sb se zyada fehash videos banti hein,1
tawaifon k sar e aam fehashi phelany ki wajah se Nigeria mein AIDS k cases mein izafa ho raha hai,1
subah se government policies ke khilaf Punjab Assembly k bahir nabeena afraad ka ehtejaj jaari hai,1
yeh larki mery aisaab per sawar ho jati hai,1
us hijrey bilawal aur CM Sindh ko sharam aani chahiye,1
mera khayal hai k america ko seyah faam logon per firing kerney ke liay eik behter wajah dhondni chahiye,1
Berkeley police ne ehtejaj kerney waly be-ghar logon per hamla kiya aur unhen bhaga diya,1
India ne Article 370 mansookh ker ke Kashmir ke logon ko dhoka diya hai,1
Kiya ye Islamophobia nahi k wo musalmaanon ko maarna chahtey hein?,1
main nasal parast hi paida hua tha aur nasal parast hi marun ga,1
"dehshat gardon ka koi emaan nahi hota, unhen zinda jala dena chahiye",1
Refugees ko Europe mein daakhil nahi hony dena chahiye,1
"yeh refigees nahi, ye hamla aawer hein",1
yahan per sb jhootey rehtey hein,1
gorilla har waqt ghussy mein isliye rehta hai kyun k 10 hazaar saal baad wo habshi bn jaye ga ,1
Maar do goli us aashiq ko jo apka na howa kabi,1
achi khabar ye hai ke kanjar mar gaya hai,1
eik Arbi larki k Miss America bn'ny per main bohut ghussy mein hun,1
"Imran Khan dramybaaz hai, uski apni party loton se bhari hui hai",1
AIDS seyah faam logon ki tarah phel raha hai,1
"tum jitney zehreely ho, tum per to zeher bhi asae nahi kary ga",1
appka dimagh apke ghutnon mein hai kia?,1
Jamaican qaatil ko jala watan bhi nahi ker saktey kyun ke woh hum jins parast hai,1
hum jins paraston ko apni dukhi zindagi khatam ker k khudkushi ker leni chahiye,1
"jis brush se daant saaf kerty ho, usi brush se zehan bhi saaf ker liya karo",1
Kashmir ke bary mein kiay sb waadon se muker gaya hai India,1
kuch logon ne railway ki zameen per najaiz qabza kia huwa hai,1
tumhary haraam k paison se qurbani qabool nahi hogi,1
"ghabrao nahi, khuda ki madad yakeenan bohut qareeb hai",0
waadi e kashmir mein khoon ki nadi beh rahi hai,1
"Aurten bohut zalim hoti hein, inka bas chaly to apne mard ko bech ke shopping ker lein",1
pta nahi aurton ko itna shopping craze kyun hota hai,1
"aurat waqae mein mard ko lakhpati bana sakti hai, agr wo pehly crorepati ho to",1
chaar deewari se bahir rehney wali aurat azaad nahi balkey khabees hai,1
kamyab mard khabees aurat se shadi nahi kerta,1
uski khabasat ka level check karo,1
Lanat hai aap pe bari wali,1
badla le lia karo tum foran se harami,1
us charsi per main hazaar bar laanat bhejti hun,1
budget mein sarkaari mulazmeen ki salary mein izafa ker dia gaya hai,0
ab ye wala manhoos reaction de ker tu meesna na bana ker,1
hum tumhary jesy ghatiya nahi hein,1
apni shakal dekho aur khush fehmiyan dekho,1
"sb se bara meesna to nawaz sharif hai, awain shareef bana phirta hai bhootni ka",1
Allah se darr aur tobah tobah ker,0
Chup rehney waly harami hotey hein,1
modi sarkaar ka kashmiriyon k haqq per bara daaka,1
"yeh raha ap ka Imran Khan jisne kashmir dispute resolve krna tha, lol",1
Chicago mein firing ker ke 7 logon ko qatal ker diya gaya,1
Bharat jinsi zeyadti ki khatarnak waba ki lapeit mein hai,1
bharat se rozana bakriyon aur kutton se bhi jinsi zeyadti ki khabren aati hein,1
Modi Gujrat key baad ab Kashmir ka qasai bn raha hai,1
PM ka ghareeb logon k liay ghar bananey ka elaan,0
bachi ne bohut piyari naat parhi,0
Maqbooza Kashmir mein curfue naafiz ker diya gaya hai,1
Modi hosh ke nakhun le,1
fatah kashmiriyon ki hogi,0
zakaat ka ghalt istemaal rokny ke liay qanoon tayar,0
bharat ne kashmir harap liya hai,1
Maqbooza Kashmir mein nasal kushi ki sazish ki gai hai,1
Noon legue ki siyasat itni dhans chuki ke dobara ubharney ka imkaan nahi,1
Maqbooza Kashmir bharti foj ka qabrustan bn ker rahy ga,1
brendon mccullum Global T20 Legue k baad cricket se retire ho jayen gey,0
"khud to tum meesney ho, dosron ko bhi wesa hi samajhtey ho",1
tum donon chalak lomriyan ho,1
Jair Bolsonaro ke mutabik naye qanoon ki wajah se galiyon mein mojood mujrim cockroach ki tarah mar jayen gy,1
Trump ne Venezuela per nai muashi pabandiyan laga di hein,1
Is saal July dunya bhar mein garam tareen maheena tha,0
Modi eik dehshat gard siyasatdaan hai,1
shooting k khofnaak waqaeat k baad president trump ne nasal parastana nafrat ko sb se bara khatra qaraar diya,0
Dayton mein firing karney waly shakhs ka maazi bhi khawateen ko haraasan kerty huay guzra hai,1
Trump eik safeed faam qoum parast hai jo dehshat gardi ko ubhaar raha hai,1
mjy New York mein nasal parast jumlon ka samna kerna para,1
stock exchage mein aaj business acha raha,0
"Main ne is se zyada nafrat angez tashaddud ki peishengoi ki thi, El Paso firing per iska khatma nahi hua",1
president ne nasal parasti ki taaqat ko istemaal kiya,1
Trump ne apni sadaarti muhem mein FB ADs ko istemaal kiya,0
Mumbai mein acid attack k waqeat barh gaye hein,1
pakistan ki adliya se insaf ki umeed rakhna hi fazool hai,1
China aur Pakistan dost mumaalik hein,0
Pakistan aur Afghanistan ke taluqaat kabi achy nahi rahy,0
Afghani chor hoty hein,1
bari hi koi chawal aurat ho tum,1
oh khabeesni coca cola pilaa de,1
Ek number ki khabees aurat ho tum,1
"behen tu sirf hans le, phans mat warna agla baad mein roye ga bohut",1
us larki ki hansi bari khofnaak hai,1
tumhary ander thori sharam baqi hai to zeher khaa lo,1
Karachi ko roshniyon ka shaher kaha jata hai,0
poori qoum kashmeeri behen bhaiyon k sath khari hai aur khari rahy gi,0
Taliban ke sath muzakraat mein zabardast peshraft hui hai,0
Imran siyasi hareefon ko dabaty rahy aur kashmir ka nuqsan ker diya,1
Sindh qabeena mein kai ahem wuzraa ke mehekmay tabdeel,0
"kal mosam bohut acha tha, hum sair karney gaye thy",0
bharti sarkar ne khud siyasi mout ko dawat di hai,1
Karachi mein agly week barishon ki peshangoi,0
wo hai hi jahannumi kyun ke wo koi acha kam nahi kerta,1
Amir ko gheebat kerney ki bohut buri aadat hai,1
jb bhi koi apko judge kerney ki koshish kary to aap uski kutton wali karo,1
bohut arsa guzer gaya hai mujhy cigarette chory huay,0
tum jesy log hoty hein jin ki wajah se society mein beheyai phelti hai,1
"kal jo kuch class mein hua, uske baad koi kutta hi hoga jo class leny jaye ga",1
Allah kary tu mar jaye badtamiz,1
"Sara ka ghar itna ganda tha, aisy lag raha tha jesy kachrey ka dabba ho",1
Farigh bethney se behter hai Allah ka ziker ker liya jaye,0
woh larki kitni buri lag rahi thi na red dress mein,1
"tujhy kia takleef hai, uski marzi wo jo marzi pehney",1
Modi government muslim abaadi ka tanasub badal kr kashmir ko falasteen bnana chahti hai,1
Hindu inteha pasand log hoty hein,1
sabiqa hukmaranon ki money laundering ki wajah se aaj mulk maqrooz hai,1
Khawateen ka pasandeeda mashghala gheebat kerna hota hai,1
agr dushman ne hum per jung musallat ker di to hamen larrny aur moun torr jawab deny ke liay tayar rehna chahiye,1
Modi jungi janoon mein pagal ho gaya hai aur usy apny mulk k nuqsan ki koi parwah nahi hai,1
"tum eik badtameez larki ho, kabi bhi kehna nahi manti ho",1
"Shahbaz Sharif ko bas batting lene ka shoq hai. Khelna usy aata nahi hai, awein balls zaaya ker ke chala jata hai",1
Guzishta aqwam per nafarmani karney ki wajah se Allah ka azab naazil huwa,0
Jinsi zeyadti kerney walon ko sar e aam phansi de deni chahiye,1
Abdul Sattar Eidhi ke inteqaal ne sb pakistaniyon ko afsurdah ker diya,0
Allah kary tumhari nasal tabah o barbaad ho jaye,1
tum jesy dhokybaaz se dosti kerna meri zindagi ki sb se bari ghalti thi,1
Shudra zaat k log neech samjhey jaty hein,1
Hina Rabbani Khar eik hadsaati wazeer e kharjah theen,1
Unka aaj ka beyaan sunen to andaza ho jaye ga ke wo kitni kokhli aur corruption pasand hein,1
Jo bhi chori kary uske haath kaat deny chahen,1
Islam mein kaalay ko goray per aur goray ko kaalay per koi foqiyat nahi ,0
Ghair muslimon se khana le ker nahi khana chahiye,1
"tum eik awaara larkay ho, lagta hai tmharey maa baap ne tumhen tameez nahi sikhai",1
Jis bhagoray ko aik naam yaad nahi ho saka wo leader hai in kanjron ka,1
Bharat ne agar Azad Kahmir mein kuch kiya to usey bharpoor jawab diya jaye ga,1
yeh woh inteha pasand zehniyat hai jis ne mahatma gandhi ko qatal kiya,1
Hamid ghussey mein galiyan dena shuru ho jata hai,1
"mujhy tung na karo, idher se dafa ho jao",1
"eik to tum ne chori ki hai, ooper se seena zori dikha rahy ho",1
munafqeen jahannum ke sb se nichley darjey per hon gy,0
aaj umair ke ghar beta paida huwa hai,0
meri baddua hai tum jahannum mein jao,1
munafqon ki wajah se rishtey toot jatey hein,1
"jb se tum meri zindagi mein aye ho, meri zindagi azab ho gai hai",1
kashmiriyon ko dhoka deney wala shakhs nawaz sharif hai jis ne kargil ki jeeti jung se foj ko wapis bula liya,1
kitney paison mein tum ne apny zameer ka soda kiya hai?,1
kuch nahi bika siwaye apke qalam ke,1
bhagawat kernay waly senators ke khilaf actions hoga,1
dunya bhar mein kashmiriyon per honey walay zulm ki misaal nahi milti,1
mujhy mushkil mein daal ker khud tum moqy se ghaib ho gaye,1
meri raye mein bharat ne is faisley se shimla muahidey ko dafan ke diya hai,1
buri sohbat mein rehney se tanhai behter hai,0
agar ab tum ne mujhy message kiya to main tumhara mohn torr dun ga,1
khuda kary tu kuttey ki mout marey,1
"mujhy ghar se bahir nahin jany diya ja raha, hamkumat jhoot bol rahi hai ke main azad hun",1
India ne curfew laga ker poory kashmir ko eik bari jail mein badal diya hai,1
tum bhonko matt aur yahan se dafa ho jao,1
is kameeni ko iski zuban mein samjhao ke iska qasoor hai mera nahi,1
"kutti tu bhonkti reh, main tujhy jawab nahi de rahi",1
"kutton ka kam hai bhonkna, mera kam hai chup bethna",1
khabardar jo tum ne mery samney bakwas ki,1
gown pehna hai is kutti kameeni ne lekin ander se poori zaleel hai,1
"tum bohut haramzadi ho, ye harkaten chor do",1
tum itny namak haram niklo gy mujhy andaza nahi tha,1
red dress mein tum pyari lag rahi theen,0
tum bharosay ke qabil nahi ho,1
jb bhi zrurat pari tum ne dhoka hi diya hai,1
hum kashmiri awam ke sath hein,0
Khamoshi behtreen ibadat hai,0
muzahireen ne bharat ke khilaaf naaray lagaye,1
kuch inteha pasandon ki wajah se kashmir mein aaj tak aman qaim nahi ho saka,1
hukmaranon ki ghalt policies ki wajah se masla e kashmir abi tak hal nahi ho saka,1
maqbooza kashmir mein musalmanon ko bedardi se qatal kiya ja raha hai,1
tum ne nabeena shakhs se paisy chura ker acha nahi kiya,1
kia tum andhey ho jo tumhen samney rakha hua cup nazar nahi aaya,1
tum ne mujh per chori ka ghalt ilzam lagaya hai,1
is qanoon k baad insani haqooq ke bohran mein shiddat aye gi,1
qanoon andha hota hai lekin yahan per qanoon ke rakhwalay bhi andhy ho gaye hein,1
insaf per mabni faisla kernay walay judge ko qatal ki dhamkiyan mil rahi hein,1
monsoon ki barishon se selaab aany per kafi jani nuqsan hua,0
kashmir ke mamley per pakistani artists ne anupam kher ko khari khari suna dein,1
swat bohut khoobsurat waadi hai,0
main apny watan main aman ke liay dua krun ga,0
marney walon ki maghfirat ke liay dua kerty rehna chahiye,0
Imran Khan tum eik buzdil insan ho,1
jawab deny ki bjaye parliament se bhag jana acha tareeqa nahi tha,1
"chehrey khoobsurat ya badsurat nai hoty, dimagh hoty hein",0
tum bohut fazool kharch larki ho,1
"shuker hai tum ja rahi ho, jaan choot gai tumhari bakwas se",1
agar tum ne Imam Ali ke khilaf kuch kaha to masla ho jaye ga,1
mera ooper susral mein tashaddud hota hai,1
hum ne qurbani ka janwar khareed liya hai,0
"tum ne mujhe pyar nahi kia, dhoka diya hai",1
Umar Akmel ne fixing ki offer kernay waly ki report ker di,0
bharat aman ka qaatil hai,1
inteha pasand parties ka 70 saala mansooba kamyab ho gaya,1
kashmiriyon se puchey beghair riyasat ko taqseem ker diya gaya,1
modi sarkar pagalpan aur insani haqooq per hamla kerny se baaz rahy,1
Falasteeniyon ki tarah Kashmiriyon ko bhi chup kerwaney ki koshish hogi,1
selected wazeer r azam mein kashmir ka masla hal kerney ki himmat nahi,1
Imran Khan ne Kashmir Trump ke hathon bech diya,1
barish se mosam khushgawar ho gaya hai,0
Jaali wazeer e azam ne ghair sanjeeda rawayya dikhaya,1
Geo News per ghalat khabar chalanay ki wajah se 10 lakh ka jurmana kiya gaya hai,0
Alex ke ghair sanjeeda rawayye ki wajah se hamen nuqsan uthana para,1
betiyan Allah ki rehmat hoti hein,0
agar mujhe college mein dakhila nah mila to main aag laga dun ga,1
tum din badin harami hoty ja rahy ho,1
bharat ne apni policy jari rakhi to reyasati dehshat gardi hogi,1
tum har waqt sarry huay rehtay ho,1
Governor Punjab ka naya taleemi nizam laaney ka elaan,0
Eid ke moqey per karayon mein izafa nah kernay ki hidayat,0
America ki pehli nobel inaam yaftah siyah faam adeeba toni morris inteqal ker gayen,0
